Tochter Zion, freue dich	HAENDEL	40		allemand	Avent			SATB		Hymne de l'Avent		XVIII	40			
O Haupt voll Blut und Wunden 	MENDELSSOHN	41		allemand	Passion ch de Croix			SATB				XIX	41			
Richte mich, Gott	MENDELSSOHN F.	41		allemand				SSAATTBB		Psaume 43		XIX	41		opus 78	
Was betrübst du dich	MENDELSSOHN F.	41		allemand				SATB		Psaume 42		XIX	41		piano	
Aimer, il suffit d'aimer	LEFEBVRE	42		français		Communion	D 600	SATB				XX	42			
Je te cherche, Dieu	CHEMIN NEUF	42		français		Rassemblement		SATB				XX	42			
Une lumière brillera sur vous	LEBRUN	42		français	Avent			Unisson					42		piano	
Bénis soient la coupe et le pain	ANONYME	43		français		Communion		Unisson					43			
Celui qui a mangé de ce pain	GODARD Marcel	43		français		Communion	D140	SATB/TBarB					43			
C'est toi, Seigneur le pain rompu	KIRBYE	43		français		Communion	D293	SATBetSA					43			
Le pain dans nos mains	COLOMBIER Noël	43		français		Communion	D 520	SAB					43			
Nous qui mangeons le pain	CRUGER	43		français		Communion	D 215	SATB				XVII	43			
Quel est donc ce repas	Akepsimas Jo	43		français		Communion	D 228	Unisson					43			
Couronnée d'étoiles	EMMANUEL	44		français	Chant marial			SATB					44			
Toi qui ravis le coeur de Dieu	BERTHIER, Jacques	44		français	chant marial		VLH 136	SATet SAB					44			
Vous êtes sans pareille	GELINEAU	44		français	Chant marial		V 10	SATB					44			
O nata  lux de lumine..	TALLIS	45		latin	Noël			SATTB					45			
This Little Light of Mine	LOES Harry Dixon	45		anglais				Unisson		gospel pour voix d'enfants			45			
Thou oh Lord	IRELAND Lisa	45		anglais				SATB		gospel pour voix d'enfants			45			
"Cantate 118 ""O Jesu Christ"".."	BACH Johann Sebastian	46		allemand				SATB		Cantate 118			46			
Choral de la Cantate 142	BACH Johann Sebastian	46		allemand				SATB		Cantate 142			46			
Cantate Domino	HAENDEL	47		latin				SATBet SSA		Louange			47			
Canticorum jubilo	HAENDEL	47		latin		 		SATB		Louange			47			
Singt Herrn ein neues Lied 	HAENDEL	47		allemand	Pâques			Unisson		Canticorum			47			
Choral final n°48 de la Passion selon St Jean	BACH, Johann Sebastian	48		français/allemand	Passion			SATB		Passion selon St Jean			48			
Mon âme a soif de toi ,mon Dieu	SCHUTZ	48		français				SATB		Psaume 62			48			
Passion selon St Jean choral final n°68	BACH	48		allemand	Passion			SATB		Passion			48			
Aria Duetto, Cantate 78	BACH Johann Sebastian	49						4VM		Cantate 78			49			
Cantate 140 - Wachet auf, ruft uns die Stimme-	BACH Johann Sebastian	49		allemand				4VM		Cantate 140 prélude			49			
Cantate 140 -Zion hört die Wächter singen-	BACH Johann Sebastian	49		allemand				Unisson		Cantate 140 choral			49			
"Cantate n°4 ""Christ Lag In Todesbanden"""	BACH	49		allemand/anglais				SATB		Cantate 4			49			
"Cantate n°4 (versus II) ""Den Tod…"""	BACH Johann Sebastian	49		allemand				SATB		Cantate 4			49			
"Cantate n°4 (versus VII) ""Wir essenun d wir…"""	BACH Johann Sebastian	49		allemand				SATB		Cantate 4			49			
Choral final cantate 4  versets II et VII	BACH Johann Sebastian	49		allemand				SATB		Cantate 4			49			
"Choral final Cantate 78 ""Herr, ich glaube"""	BACH Johann Sebastian	49		allemand				SATB		Cantate 78			49			
Wachet auf, ruft uns die Stimme 	BACH Johann Sebastian	49		allemand				3VM		Cantate 140 Prélude			49			
Zion hört die Wächter singen - Cantate 140	BACH Johann Sebastian	49		allemand				unisson		Cantate 140 Choral BWV645	Poésie allemande		49		orgue	
Credo I	Anonyme	50		latin		Credo		Unisson					50			
Credo III (notation Gregorienne)	ANONYME	50	grégorien			Credo		Unisson					50			
Credo III (notation moderne)	ANONYME	50		latin		Credo		Unisson					50			
Credo III + Et Incarnatus Josquin des Prés	ANONYME	50		latin		Credo		Unisson					50			
Credo III + Et Incarnatus Roland de Lassus	ANONYME	50		latin		Credo		Unisson					50			
Credo IV	ANONYME	50		latin		Credo		Unisson					50			
Nous croyons en Dieu	GELINEAU J.	50		français		Credo		Unisson					50			
Cantique Populaire Noël d'Enfants	FAURE	51		français	Noël			Unisson		Noël			51			
Gloria de Noël	SPERLING Oliver	51		latin	Noël			SATB		Gloria de Noël			51			
La Vierge à la crèche	FRANCK César	51		français	Noël			SA		Noël			51			
We wish you a merry Christmas	HUGUES Donald	51		anglais	Noël			SA		Noël			51			
Tantum ergo	VIERNE	52		latin	St Sacrement			SATB					52			
Un nouveau matin se lève	DAVIDICA	52		français	Pâques		I 180	SATB					52			
Lauda Sion 	ANONYME	53	grégorien					Unisson		Séquence St Sacrement			53			
Laudate populi	HAYDN Michael	53		latin				SATB		MH 792 Louange			53			
Bénis le Seigneur ô mon âme	EMMANUEL	54		français		Louange		SATB					54			
Jubilez, criez de joie, acclamez le Dieu 3 fois Saint	Fr de la Ste FAMILLE	54		français	Rassemblement			SATB					54			
Ne crains pas	BAPTISTE Jean Frère	54		français				SATB		D après Isaïe 43			54			
Qu'exulte tout l'univers	EMMANUEL	54		français		Louange		SATB					54			
Ban moin un tibo	GAUFFRIAU	55		créole				SSA			chanson créole tradi		55			
Canço a la Verge = Cantique à la Viergge	CASALS, Pau	55		espagnol				Unisson		Chant marial			55			
Cantem tots la Gloria	ANONYME	55		catalan				SA			#NOM ?		55			
Cantique à la Vierge = Canço a la Verge	CASALS Pau	55		espagnol				Unisson		Chant marial			55			
Chaque enfant est une étoile	VALENTIN Marie-Louise	55		français		la beauté de l'enfant		Unisson					55			
Cielito Lindo	ANONYME	55		espagnol				SSA			chanson pop Mexique		55			
Come faro cor moi	MONTEVERDI	55		italien				SSA		cansonnette 			55			
EL cant dels ocells	ANONYME	55		catalan				SSAA			chant pop catalan		55			
El rossignyol		55		catalan				SATB			chant pop catalan		55			
"Valse ""Le beau Danube bleu"""	STRAUSS	55		allemand				SSA		Le beau Danube bleu			55			
Frühlingslied	LISZT Franz	56		allemand				SMSA			Chanson de Printemps		56			
"Messe ""Iste confessor"""	PALESTRINA	56		latin		Messe		SATB					56			
Bonum est confidere                        	BERTHIER Jacques	57		latin				SA		Méditation			57			
Cantique du soleil	GODARD Marcel	57		français	St François d'Assises			SATB		Cantique			57			
Frère François	Vincent Jean-Marie	57		français	St François d'Assises			SAB		Chant de méditation St F.d'Assises			57			
L'Adieu des Bergers à la Sainte Famille	BERLIOZ, Hector	57		français				SATB		l'Enfance du Christ			57			
Marie pleine de Grâce	GOUZES	57		français		chant marial		SAB		Musique de Marghieri			57			
Nous te chantons Seigneur pour François….	WACKENHEIM	57		latin	St François d'Assises			Unisson		St François d'Assises			57			
"Kyrie ""orbis factor"""	VICTORIA, Tomás Luis de	58		latin		Kyrie		SATB					58			
Litanies de la Très Sainte Vierge	MESSERER H.	58		latin				SA		Litanies 			58	orgue		
Ave Maria	FAURE	59		latin		chant marial	V	TTB					59			
Ave Maria 	CHIHARA Paul	59		latin		chant marial	V	TTBaryBary BB					59	piano		
Las! En mon doux printemps	STUART Marie	60		français				SATB			"""Echo du temps passé"""		60			
Ave Maria de Lourdes	ANONYME	61		français		chant marial	V	SA					61			
Dans tout l'univers, l'Eternel est Roi	GOUDIMEL	61		français				SATB		psaume 99			61			
Du fond de ma pensée	LASSUS	61		français				SATB		psaume 130			61			
Jésus en croix (vendredi saint)	GODARD Marcel	61		français	Vendredi saint			SAB					61			
O croix dressée sur le monde	SERVEL	61		français	Passion		H 30	SATB					61			
Sous l'habit du mendiant	ROZIER	61		français	Passion		H 18	Unisson			ext Come ye sons art		61			
