"Cantate n°4 (versus II) ""Den Tod…"""	BACH Johann Sebastian	49		allemand				SATB		Cantate 4			49					0	VRAI
"Cantate n°4 (versus VII) ""Wir essenun d wir…"""	BACH Johann Sebastian	49		allemand				SATB		Cantate 4			49					0	VRAI
Choral final cantate 4  versets II et VII	BACH Johann Sebastian	49		allemand				SATB		Cantate 4			49					0	VRAI
"Choral final Cantate 78 ""Herr, ich glaube"""	BACH Johann Sebastian	49		allemand				SATB		Cantate 78			49					0	VRAI
Wachet auf, ruft uns die Stimme 	BACH Johann Sebastian	49		allemand				3VM		Cantate 140 Prélude			49					0	VRAI
Zion hört die Wächter singen - Cantate 140	BACH Johann Sebastian	49		allemand				unisson		Cantate 140 Choral BWV645	Poésie allemande		49		orgue			0	VRAI
Credo I	Anonyme	50		latin		Credo		Unisson					50					0	VRAI
Credo III (notation Gregorienne)	ANONYME	50	grégorien			Credo		Unisson					50					0	VRAI
Credo III (notation moderne)	ANONYME	50		latin		Credo		Unisson					50					0	VRAI
Credo III + Et Incarnatus Josquin des Prés	ANONYME	50		latin		Credo		Unisson					50					0	VRAI
Credo III + Et Incarnatus Roland de Lassus	ANONYME	50		latin		Credo		Unisson					50					0	VRAI
Credo IV	ANONYME	50		latin		Credo		Unisson					50					0	VRAI
Nous croyons en Dieu	GELINEAU J.	50		français		Credo		Unisson					50					0	VRAI
Cantique Populaire Noël d'Enfants	FAURE	51		français	Noël			Unisson		Noël			51					0	VRAI
Gloria de Noël	SPERLING Oliver	51		latin	Noël			SATB		Gloria de Noël			51					0	VRAI
La Vierge à la crèche	FRANCK César	51		français	Noël			SA		Noël			51					0	VRAI
We wish you a merry Christmas	HUGUES Donald	51		anglais	Noël			SA		Noël			51					0	VRAI
Tantum ergo	VIERNE	52		latin	St Sacrement			SATB					52					0	VRAI
Un nouveau matin se lève	DAVIDICA	52		français	Pâques		I 180	SATB					52					0	VRAI
Lauda Sion 	ANONYME	53	grégorien					Unisson		Séquence St Sacrement			53					0	VRAI
Laudate populi	HAYDN Michael	53		latin				SATB		MH 792 Louange			53					0	VRAI
Bénis le Seigneur ô mon âme	EMMANUEL	54		français		Louange		SATB					54					0	VRAI
Jubilez, criez de joie, acclamez le Dieu 3 fois Saint	Fr de la Ste FAMILLE	54		français	Rassemblement			SATB					54					0	VRAI
Ne crains pas	BAPTISTE Jean Frère	54		français				SATB		d'après Isaïe 43			54					0	VRAI
Qu'exulte tout l'univers	EMMANUEL	54		français		Louange		SATB					54					0	VRAI
Ban moin un tibo	GAUFFRIAU	55		créole				SSA			chanson créole tradi		55					0	VRAI
Canço a la Verge = Cantique à la Viergge	CASALS, Pau	55		espagnol				Unisson		Chant marial			55					0	VRAI
Cantem tots la Gloria	ANONYME	55		catalan				SA			Err :509		55					0	VRAI
Cantique à la Vierge = Canço a la Verge	CASALS Pau	55		espagnol				Unisson		Chant marial			55					0	VRAI
Chaque enfant est une étoile	VALENTIN Marie-Louise	55		français		la beauté de l'enfant		Unisson					55					0	VRAI
Cielito Lindo	ANONYME	55		espagnol				SSA			chanson pop Mexique		55					0	VRAI
Come faro cor moi	MONTEVERDI	55		italien				SSA		cansonnette 			55					0	VRAI
EL cant dels ocells	ANONYME	55		catalan				SSAA			chant pop catalan		55					0	VRAI
El rossignyol		55		catalan				SATB			chant pop catalan		55					0	VRAI
"Valse ""Le beau Danube bleu"""	STRAUSS	55		allemand				SSA		Le beau Danube bleu			55					0	VRAI
Frühlingslied	LISZT Franz	56		allemand				SMSA			Chanson de Printemps		56					0	VRAI
"Messe ""Iste confessor"""	PALESTRINA	56		latin		Messe		SATB					56					0	VRAI
Bonum est confidere                        	BERTHIER Jacques	57		latin				SA		Méditation			57					0	VRAI
Cantique du soleil	GODARD Marcel	57		français	St François d'Assises			SATB		Cantique			57					0	VRAI
Frère François	Vincent Jean-Marie	57		français	St François d'Assises			SAB		Chant de méditation St F.d'Assises			57					0	VRAI
L'Adieu des Bergers à la Sainte Famille	BERLIOZ, Hector	57		français				SATB		l'Enfance du Christ			57					0	VRAI
Marie pleine de Grâce	GOUZES	57		français		chant marial		SAB		Musique de Marghieri			57					0	VRAI
Nous te chantons Seigneur pour François….	WACKENHEIM	57		latin	St François d'Assises			Unisson		St François d'Assises			57					0	VRAI
"Kyrie ""orbis factor"""	VICTORIA, Tomás Luis de	58		latin		Kyrie		SATB					58					0	VRAI
Litanies de la Très Sainte Vierge	MESSERER H.	58		latin				SA		Litanies 			58	orgue				0	VRAI
Ave Maria	FAURE	59		latin		chant marial	V	TTB					59					0	VRAI
Ave Maria 	CHIHARA Paul	59		latin		chant marial	V	TTBaryBary BB					59	piano				0	VRAI
Las! En mon doux printemps	STUART Marie	60		français				SATB			"""Echo du temps passé"""		60					0	VRAI
Ave Maria de Lourdes	ANONYME	61		français		chant marial	V	SA					61					0	VRAI
Dans tout l'univers, l'Eternel est Roi	GOUDIMEL	61		français				SATB		psaume 99			61					0	VRAI
Du fond de ma pensée	LASSUS	61		français				SATB		psaume 130			61					0	VRAI
Jésus en croix (vendredi saint)	GODARD Marcel	61		français	Vendredi saint			SAB					61					0	VRAI
O croix dressée sur le monde	SERVEL	61		français	Passion		H 30	SATB					61					0	VRAI
Sous l'habit du mendiant	ROZIER	61		français	Passion		H 18	Unisson			ext Come ye sons art		61					0	VRAI
Victoire	JULIEN Abbé David	61		français	Passion		H 32	SATB					61					0	VRAI
De mon coeur a jailli	JEF, Robert	62		français		Consécration		SATB					62					0	VRAI
Dieu qui nous appelle à vivre	AKEPSIMAS	62		français	Pentecôte		K158	SATB					62					0	VRAI
J' aime le Seigneur	BERTHIER, Jacques	62		français		Psaume		Unisson					62					0	VRAI
J'ai vu des fleuves d'eau vive	WITTAL	62		français	Pâques 	Aspersion	I	SATB					62					0	VRAI
