Je vous salue Marie	BRUN	63		français		chant marial		2VE							
Je vous salue Marie	LITAIZE	63		français		chant marial		Unisson							
Je vous salue Marie (Angelus)	ANONYME	63		français		annonciation		SATB							
Je vous salue Marie (ton ordinaire)	Anonyme	63				chant marial	V 15	Unisson							
Nous te saluons 	GOUZES	63				Salve Regina		SATB							
Salve Regina	GOUZES	63				Antienne mariale		4VM							
Sous ton voile de tendresse	EMMANUEL	63				chant marial		4VM							
Dieu est à l oeuvre en cet âge	SHAW	64					T 50	SATB							
Dieu nous te louons	MARTHOURET	64			Toussaint			SSA							
Dieu qui fais toutes choses nouvelles	GELINEAU J.	64			Pentecôte		K90-2	Unisson							
Dieu qui fait toutes choses nouvelles	JULIEN	64			Pentecôte		K90-1	Unisson							
Le Seigneur vient	GELINEAU	64			Avent		E 10-63	SAB							
Veni Creator	ANONYME	65	grégorien		Pentecôte			Unisson							
Veni Creator	FRANCK Cesar	65			Pentecôte			SA							
Veni creator	PERRUCHOT	65			Pentecôte			SATB							
Veni creator Spiritus	ESTERHAZY, Paul	65			Pentecôte			SATB							
Veni Creator Spiritus	HILBER J.B.	65		latin	Pentecôte			SATB							
Veni creator: viens, Esprit créateur	GOUZES	65	grég/français		Pentecôte			Unisson							
Veni Sancte Spiritus	ANONYME	65	grégorien		Pentecôte			Unisson							
Veni Sancte Spiritus	JANACEK Leos	65			Pentecôte			SATB							
Da pacem Domine	FRANCK Melchior	66		latin				SATB		Mottet latin					
Da pacem Domine	VON BRUCK	66						SSAA		Mottet latin					
Da pacem, Domine	BERTETTI, G.	66						SATB		Mottet latin					
Veni Domine 	MENDELSSOHN	66		latin	Avent			SSA		Motet Opus39					
J entends chanter la terre	GEOFFRAY C.	67						SATB		Choral					
O vous tous , gens de la terre	GEOFFRAY	67						SSA		Poème sur la charité	Poème sur la Charité				
Si vous n estes en bon point	DE LASSUS Orlandus	67						SATB			chant de la Renaissance				
Litanie Pénitentielle (Martyrs)	GODARD Marcel	68				Kyrie		SATB							
Laudate Dominum (KV 339)	MOZART Wolgang Amadeus	69						SSA/Solo		desVêpres KV 339 d Un confesseur					
Ce jour est plein de joie	GODARD Marcel	70			Noël			SSA		Noël				orgue	
Dans une étable obscure (2 versions la M et solM)	PRAETORIUS	70		français	Noël			SATB		Noël					
Deux Noëls de joie	ANONYME	70		anglais	Noël			SATB		Noël trad anglais					
