"Valse ""Le beau Danube bleu"""	STRAUSS	55		allemand				SSA		Le beau Danube bleu					
Chaque enfant est une étoile	VALENTIN Marie-Louise	55		français		la beauté de l enfant		Unisson							
Frühlingslied	LISZT Franz	56		allemand				SMSA			Chanson de Printemps				
"Messe ""Iste confessor"""	PALESTRINA	56		latin		Messe		SATB							
L Adieu des Bergers à la Sainte Famille	BERLIOZ Hector	57		français				SATB		l Enfance du Christ					
Bonum est confidere                        	BERTHIER Jacques	57		latin				SA		Méditation					
Cantique du soleil	GODARD Marcel	57		français	St François d Assises			SATB		Cantique					
Marie pleine de Grâce	GOUZES André	57		français		chant marial		SAB		Musique de Marghieri					
Frère François	VINCENT Jean-Marie	57		français	St François d Assises			SAB		Chant de méditation St F.d Assises					
Nous te chantons Seigneur pour François….	WACKENHEIM Michel	57		latin	St François d Assises			Unisson		St François d Assises					
Litanies de la Très Sainte Vierge	MESSERER H.	58		latin				SA		Litanies 			orgue		
"Kyrie ""orbis factor"""	VICTORIA Tomas Luis de	58		latin		Kyrie		SATB							
Ave Maria 	CHIHARA Paul	59		latin		chant marial	V	TTBaryBary BB							
Ave Maria	FAURE Gabriel	59		latin		chant marial	V	TTB							
Las! En mon doux printemps	STUART Marie	60		français				SATB			"""Echo du temps passé"""				
Ave Maria de Lourdes	ANONYME	61		français		chant marial	V	SA							
Ave Maria de Lourdes	ANONYME/LESBORDES Alexandre	61		fr/ita/esp/ang/allem/Hollande		chant marial	V	SSATB		canon		XX			
Jésus en croix (vendredi saint)	GODARD Marcel	61		français	Vendredi saint			SAB							
Dans tout l univers, l Eternel est Roi	GOUDIMEL	61		français				SATB		psaume 99					
Victoire	JULIEN David	61		français	Passion		H 32	SATB							
Du fond de ma pensée	LASSUS Orlando de	61		français				SATB		psaume 130					
Sous l habit du mendiant	ROZIER Claude	61		français	Passion		H 18	Unisson			ext Come ye sons art				
O croix dressée sur le monde	SERVEL	61		français	Passion		H 30	SATB							
Dieu qui nous appelle à vivre	AKEPSIMAS Jo	62		français	Pentecôte		K158	SATB							
Messe Petite = Petite Messe	AKEPSIMAS Jo	62		français		Messe	AL 179	SATB							
Petite messe = Messe Petite	AKEPSIMAS Jo	62		français		Messe	AL 179	SATB							
J  aime le Seigneur	BERTHIER Jacques	62		français		Psaume		Unisson							
J ai vu l eau vive	BERTHIER Jacques	62		français	Pâques	Aspersion	I 132-1	Unisson							
J ai vu l eau vive	GODARD Marcel	62		français	Pâques	Aspersion	I	Unisson							
De mon coeur a jailli	JEF Robert	62		français		Consécration		SATB							
J ai vu l eau vive	ROBERT Philippe	62		français	Pâques	Aspersion	I 18-64-1	Unisson					orgue		
J ai vu des fleuves d eau vive	WITTAL Marcus	62		français	Pâques 	Aspersion	I	SATB							
Je vous salue Marie (ton ordinaire)	ANONYME	63		français		chant marial	V 15	Unisson							
Je vous salue Marie	BRUN	63		français		chant marial		2VE							
Nous te saluons 	GOUZES André	63		français		Salve Regina		SATB							
Salve Regina	GOUZES André	63		français		Antienne mariale		4VM							
Chez nous soyez Reine	HUET Abbé	63		français		chant marial		SA							
Je vous salue Marie comblée de Grâce (Angelus)	JONCHAY Jean Baptiste du	63		français		chant marial		Unisson+SmSA+SATB							
Sous ton voile de tendresse	L'EMMANUEL	63		français		chant marial		4VM							
Je vous salue Marie	LITAIZE	63		français		chant marial		Unisson							
Dieu qui fais toutes choses nouvelles	GELINEAU Joseph	64		français	Pentecôte		K90-2	Unisson							
Le Seigneur vient	GELINEAU Joseph	64		français	Avent		E 10-63	SAB							
Dieu qui fait toutes choses nouvelles	JULIEN David	64		français	Pentecôte		K90-1	Unisson							
Dieu nous te louons	MARTHOURET Robert	64		français	Toussaint			SSA							
Dieu est à l oeuvre en cet âge	SHAW	64		français			T 50	SATB							
Veni Creator	ANONYME	65	grégorien		Pentecôte			Unisson							
Veni Sancte Spiritus	ANONYME	65	grégorien		Pentecôte			Unisson							
Veni creator Spiritus	ESTERHAZY Paul	65		latin	Pentecôte			SATB							
Veni Creator	FRANCK César	65		latin	Pentecôte			SA							
Veni creator: viens, Esprit créateur	GOUZES André	65	grég/français		Pentecôte			Unisson							
Veni Creator Spiritus	HILBER J.B.	65		latin	Pentecôte			SATB							
