Justitiae Domini;SCARLATTI;285;;latin;Carême;;;SATB;;;Motet;;;
Lumière des hommes;DUMAS Henri;111;;français;Carême;;;SATB;;;;;;
Lumière des hommes;MAUCOURT de;111;;français;Carême;;;SATB;;;;;;
"Motets pour le temps de Carême:""Vinae mea electa""";POULENC Francis;17;;latin;Carême;;;SAATBB;;;Motet;;XX;
N aie pas peur;LANGREE Alain;416;;français;Carême;;G 249;SATB;;;;;;
Ne craignez pas;AKEPSIMAS Jo;111;;français;Carême;;G 139;SATB;;;;;;
Nos yeux ne voient plus;WACKENHEIM Michel;413;;français;Carême;;G 166;Unisson;;;;;;
O Jesu Christe;VAN BERCHEM;38;;latin;Carême;;;SATB;;;"""O Seigneur prends pitié de nous""";;XVI;
Offertoire mercredi des Cendres (Exaltabote Domine);ANONYME;224;grégorien;;Carême;;;Unisson;;;;;;
Oui je me lèverai;DEISS Lucien;131;;français;Carême;;G 48;SATB;;;;;;
Ouvre mes yeux ;GODARD Marcel;182;;français;Carême;;G 79-3;SAB;;;;;;
Pain de Dieu pour notre marche;BERTHIER Jacques;147;;français;Carême;Acclamation;U 11621;SAB;;;;;;
Pardonne-nous et change nos coeurs;MORNIN;439;;français;Carême;;G 178;Unisson;;orgue;;;;
Parle Seigneur ton peuple écoute;GODARD Marcel;280;;français;Carême;Chant avt l évangile;;SABar;;orgue;;;;
Peuple de l alliance;AKEPSIMAS Jo;413;;français;Carême;;G 244;SATB;;;;;;
Pour l appel à rejoindre ton peuple;BERTHIER Jacques;199;;français;Carême;;G 14-58-1;Solo/4VM;;;;;;
Pour que l homme soit un fils à son image;VINCENT Jean-Marie;321;;français;Carême;;G 297-1;SATB;;;;;;
Rends-nous la joie de ton salut;ROSENMÜLLER Johann;499;;français;Carême;;G 268;SATB;;;;;;
Revenez à moi;GOUZES André;283;;français;Carême;;;SATB;;;;;;
Si l espérance t a fait marcher;AKEPSIMAS Jo;444;;français;Carême;;G 213;Unisson;;Flûte ;;;;
Sois fort,sois fidèle;BERTHIER Jacques;515;;français;Carême;;GLH 120;SAT;;;;;;
Ta nuit sera lumière de midi;AKEPSIMAS Jo;111;;français;Carême;;G 212;SATB;;;;;;
Tu connais ton oeuvre,Dieu créateur;BERTHIER Jacques;271;;français;Carême;Entrée;G 109-1;Unisson;;;;;;
Venez au jour;GODARD Marcel;182;;français;Carême;;G 103-3;SATB;;;;;;
Vinea mea electa ;POULENC Francis;17;;latin;Carême;;;SAATBB;;piano;Motet (pr le tps de Pénitence);;XX;
Audi Benigne Conditor;ANONYME;231;grégorien;;Carême ;;;Unisson;;;;;;
Laetare Jerusalem (grégorien et notation moderne);ANONYME;224;grégorien;;Carême ;Introït joie du 4° dim;;Unisson;;;;;;
Invocabit me;ANONYME;225;grégorien;;Carême ;Introït 1° dim;;Unisson;;;;;;
Invocations trinitaires (O Dieu saint, o Dieu fort);BIGENWALD Ste Jacqueline;382;;français;Carême Pâques;Invocation;;SATB;;;;;;
Vivons en enfants de lumière;BERTHIER Jacques;236;;français;Carême Pâques;;G14-57-1;SATB;;;;;;
Exaltabote Domine (Offertoire mercredi des Cendres);ANONYME;224;grégorien;;Cendres;;;Unisson;;;;;;
Humble servante;BERTHIER Jacques;15;;français;;Chant marial;V248-1;SATB;;;;;;
Hymne à la Sainte Vierge;BERTHIER Jacques;200;;français;;Chant marial;;Solo/4VM;;;;;;
La première en chemin, Marie;ANONYME;209;;français;;Chant marial;;Solo/4VM;;;;;;
La terre desséchée;TAMIE;171;;français;;Tropaire pr la Nativité de la Vierge;V 134-1;SSA;;;;;;
Louée sois-tu, O Vierge Marie = choral final;ALAIN Albert;514;;français;;chant marial;;SAB/SATB;;;;;;
Nous te saluons, Mère très Sainte;GELINEAU Joseph;171;;français;;Chant marial;;SAB;;;;;;
O Maria;BERTOLUCCI;32;;latin;;chant marial;;Solo+1V;;piano;;;XX;
Sous votre garde = sub tuum…;DEISS Lucien;144;;français;;Chant marial;V 81;SATB;;;;;;
Toi,notre Dame;WACKENHEIM Michel;22;;français;;Chant marial;V 153;SATB;;;;;;
Une Vierge féconde;ANONYME;403;;français;;chant marial;;Unisson;;;;;XVI;
Vierge sainte, Dieu t a choisie;DECHA P.;365;;français;;Chant marial;V 136;Solo+SATB;;;;;;
