"L Adieu des Bergers à la Sainte Famille"	"BERLIOZ Hector"	57		"français"				"SATB"			"l Enfance du Christ"					
"Marie pleine de Grâce"	"GOUZES André"	57		"français"		"chant marial"		"SAB"			"Musique de Marghieri"					
"Nous te chantons Seigneur pour François…."	"WACKENHEIM Michel"	57		"latin"	"St François d Assises"			"Unisson"			"St François d Assises"					
"Kyrie ""orbis factor"""	"VICTORIA Tomas Luis de"	58		"latin"		"Kyrie"		"SATB"								
"Litanies de la Très Sainte Vierge"	"MESSERER H."	58		"latin"				"SA"			"Litanies "			"orgue"		
"Ave Maria"	"FAURE Gabriel"	59		"latin"		"chant marial"	"V"	"TTB"								
"Ave Maria "	"CHIHARA Paul"	59		"latin"		"chant marial"	"V"	"TTBaryBary BB"								
"Las! En mon doux printemps"	"STUART Marie"	60		"français"				"SATB"				"""Echo du temps passé"""				
"Ave Maria de Lourdes"	"ANONYME"	61		"français"		"chant marial"	"V"	"SA"								
"Ave Maria de Lourdes"	"ANONYME/LESBORDES Alexandre"	61		"fr/ita/esp/ang/allem/Hollande"		"chant marial"	"V"	"SSATB"	"o"				"XX"			
"Dans tout l univers, l Eternel est Roi"	"GOUDIMEL"	61		"français"				"SATB"			"psaume 99"					
"Du fond de ma pensée"	"LASSUS Orlando de"	61		"français"				"SATB"			"psaume 130"					
"Jésus en croix (vendredi saint)"	"GODARD Marcel"	61		"français"	"Vendredi saint"			"SAB"								
"O croix dressée sur le monde"	"SERVEL"	61		"français"	"Passion"		"H 30"	"SATB"								
"Sous l habit du mendiant"	"ROZIER Claude"	61		"français"	"Passion"		"H 18"	"Unisson"				"ext Come ye sons art"				
"Victoire"	"JULIEN David"	61		"français"	"Passion"		"H 32"	"SATB"								
"De mon coeur a jailli"	"JEF Robert"	62		"français"		"Consécration"		"SATB"								
"Dieu qui nous appelle à vivre"	"AKEPSIMAS Jo"	62		"français"	"Pentecôte"		"K158"	"SATB"								
"J  aime le Seigneur"	"BERTHIER Jacques"	62		"français"		"Psaume"		"Unisson"								
"J ai vu des fleuves d eau vive"	"WITTAL Marcus"	62		"français"	"Pâques "	"Aspersion"	"I"	"SATB"								
"J ai vu l eau vive"	"BERTHIER Jacques"	62		"français"	"Pâques"	"Aspersion"	"I 132-1"	"Unisson"								
"J ai vu l eau vive"	"GODARD Marcel"	62		"français"	"Pâques"	"Aspersion"	"I"	"Unisson"								
"J ai vu l eau vive"	"ROBERT Philippe"	62		"français"	"Pâques"	"Aspersion"	"I 18-64-1"	"Unisson"						"orgue"		
